season,player,player_full,position,appearances
2020/2021,Sergio Busquets,Sergio Busquets i Burgos,Right Defensive Midfield,11
2020/2021,Jordi Alba,Jordi Alba Ramos,Left Back,19
2020/2021,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,9
2020/2021,Ousmane Dembélé,Ousmane Dembélé,Right Wing,7
2020/2021,Antoine Griezmann,Antoine Griezmann,Center Forward,4
2020/2021,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,2
2020/2021,Sergi Roberto,Sergi Roberto Carnicer,Right Back,7
2020/2021,Neto,Norberto Murara Neto,Goalkeeper,6
2020/2021,Clément Lenglet,Clément Lenglet,Left Center Back,27
2020/2021,Frenkie de Jong,Frenkie de Jong,Left Defensive Midfield,11
2020/2021,Ansu Fati,Anssumane Fati,Left Wing,4
2020/2021,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,16
2020/2021,Antoine Griezmann,Antoine Griezmann,Left Wing,6
2020/2021,Samuel Umtiti,Samuel Yves Umtiti,Left Center Back,5
2020/2021,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,12
2020/2021,Frenkie de Jong,Frenkie de Jong,Right Center Midfield,13
2020/2021,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,29
2020/2021,Sergiño Dest,Sergino Dest,Right Back,10
2020/2021,Pedri,Pedro González López,Left Center Midfield,13
2020/2021,Óscar Mingueza,Óscar Mingueza García,Right Center Back,14
2020/2021,Jordi Alba,Jordi Alba Ramos,Left Wing Back,14
2020/2021,Gerard Piqué,Gerard Piqué Bernabéu,Center Back,8
2020/2021,Ousmane Dembélé,Ousmane Dembélé,Right Wing Back,2
2020/2021,Antoine Griezmann,Antoine Griezmann,Right Center Forward,3
2020/2021,Lionel Messi,Lionel Andrés Messi Cuccittini,Left Center Forward,3
2020/2021,Ronald Araújo,Ronald Federico Araújo da Silva,Right Center Back,11
2020/2021,Ilaix Moriba,Moriba Kourouma Kourouma,Right Center Midfield,2
2020/2021,Martin Braithwaite,Martin Braithwaite Christensen,Left Wing,4
2020/2021,Miralem Pjanić,Miralem Pjanić,Right Center Midfield,1
2020/2021,Riqui Puig,Ricard Puig Martí,Left Center Midfield,2
2020/2021,Óscar Mingueza,Óscar Mingueza García,Right Back,4
2020/2021,Antoine Griezmann,Antoine Griezmann,Left Center Forward,6
2020/2021,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Center Forward,7
2020/2021,Clément Lenglet,Clément Lenglet,Center Back,1
2020/2021,Sergiño Dest,Sergino Dest,Right Wing Back,10
2020/2021,Ousmane Dembélé,Ousmane Dembélé,Center Forward,4
2020/2021,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,5
2020/2021,Pedri,Pedro González López,Left Wing,2
2020/2021,Ronald Araújo,Ronald Federico Araújo da Silva,Center Back,2
2020/2021,Philippe Coutinho,Philippe Coutinho Correia,Center Attacking Midfield,4
2020/2021,Sergio Busquets,Sergio Busquets i Burgos,Right Center Midfield,3
2020/2021,Antoine Griezmann,Antoine Griezmann,Right Wing,5
2020/2021,Frenkie de Jong,Frenkie de Jong,Left Center Midfield,3
2020/2021,Philippe Coutinho,Philippe Coutinho Correia,Left Midfield,1
2020/2021,Pedri,Pedro González López,Right Midfield,1
2020/2021,Ansu Fati,Anssumane Fati,Right Center Forward,1
2020/2021,Martin Braithwaite,Martin Braithwaite Christensen,Center Forward,4
2020/2021,Ousmane Dembélé,Ousmane Dembélé,Left Wing,2
2020/2021,Gerard Piqué,Gerard Piqué Bernabéu,Left Center Back,1
2020/2021,Sergiño Dest,Sergino Dest,Left Back,1
2020/2021,Pedri,Pedro González López,Center Attacking Midfield,3
2020/2021,Miralem Pjanić,Miralem Pjanić,Right Defensive Midfield,3
2020/2021,Philippe Coutinho,Philippe Coutinho Correia,Left Center Midfield,2
2020/2021,Martin Braithwaite,Martin Braithwaite Christensen,Left Midfield,1
2020/2021,Antoine Griezmann,Antoine Griezmann,Right Midfield,1
2020/2021,Pedri,Pedro González López,Right Center Midfield,2
2020/2021,Óscar Mingueza,Óscar Mingueza García,Left Center Back,2
2020/2021,Sergi Roberto,Sergi Roberto Carnicer,Right Wing Back,2
2020/2021,Ilaix Moriba,Moriba Kourouma Kourouma,Left Center Midfield,1
2020/2021,Antoine Griezmann,Antoine Griezmann,Left Attacking Midfield,3
2020/2021,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Attacking Midfield,4
2020/2021,Frenkie de Jong,Frenkie de Jong,Center Back,3
2020/2021,Pedri,Pedro González López,Left Defensive Midfield,3
2020/2021,Pedri,Pedro González López,Left Attacking Midfield,1
2020/2021,Philippe Coutinho,Philippe Coutinho Correia,Left Wing,1
2020/2021,Antoine Griezmann,Antoine Griezmann,Center Attacking Midfield,1
2020/2021,Frenkie de Jong,Frenkie de Jong,Right Center Back,1
2020/2021,Junior Firpo,Héctor Junior Firpo Adames,Left Back,1
2020/2021,Francisco Trincão,Francisco António Machado Mota de Castro Trincão,Right Wing,2
2020/2021,Ousmane Dembélé,Ousmane Dembélé,Left Center Forward,1
2020/2021,Frenkie de Jong,Frenkie de Jong,Center Defensive Midfield,1
2020/2021,Miralem Pjanić,Miralem Pjanić,Center Defensive Midfield,1
2020/2021,Ousmane Dembélé,Ousmane Dembélé,Right Midfield,1
2020/2021,Pedri,Pedro González López,Left Midfield,1
2020/2021,Ansu Fati,Anssumane Fati,Left Center Forward,1
2019/2020,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,22
2019/2020,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,27
2019/2020,Ivan Rakitić,Ivan Rakitić,Right Center Midfield,7
2019/2020,Antoine Griezmann,Antoine Griezmann,Center Forward,6
2019/2020,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,21
2019/2020,Nélson Semedo,Nélson Cabral Semedo,Right Back,18
2019/2020,Clément Lenglet,Clément Lenglet,Left Center Back,23
2019/2020,Arturo Vidal,Arturo Erasmo Vidal Pardo,Left Wing,1
2019/2020,Arthur,Arthur Henrique Ramos de Oliveira Melo,Left Center Midfield,9
2019/2020,Junior Firpo,Héctor Junior Firpo Adames,Left Back,10
2019/2020,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,31
2019/2020,Sergi Roberto,Sergi Roberto Carnicer,Right Back,12
2019/2020,Ansu Fati,Anssumane Fati,Left Wing,8
2019/2020,Jordi Alba,Jordi Alba Ramos,Left Back,19
2019/2020,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,16
2019/2020,Ivan Rakitić,Ivan Rakitić,Center Defensive Midfield,4
2019/2020,Samuel Umtiti,Samuel Yves Umtiti,Left Center Back,8
2019/2020,Arturo Vidal,Arturo Erasmo Vidal Pardo,Right Center Midfield,10
2019/2020,Riqui Puig,Ricard Puig Martí,Left Center Midfield,4
2019/2020,Antoine Griezmann,Antoine Griezmann,Left Wing,12
2019/2020,Sergi Roberto,Sergi Roberto Carnicer,Right Center Midfield,6
2019/2020,Frenkie de Jong,Frenkie de Jong,Left Center Midfield,9
2019/2020,Luis Suárez,Luis Alberto Suárez Díaz,Left Center Forward,4
2019/2020,Antoine Griezmann,Antoine Griezmann,Right Center Forward,2
2019/2020,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,3
2019/2020,Sergi Roberto,Sergi Roberto Carnicer,Left Center Midfield,2
2019/2020,Nélson Semedo,Nélson Cabral Semedo,Left Back,2
2019/2020,Frenkie de Jong,Frenkie de Jong,Center Defensive Midfield,3
2019/2020,Ivan Rakitić,Ivan Rakitić,Left Center Midfield,5
2019/2020,Frenkie de Jong,Frenkie de Jong,Right Center Midfield,5
2019/2020,Jordi Alba,Jordi Alba Ramos,Left Wing Back,2
2019/2020,Gerard Piqué,Gerard Piqué Bernabéu,Center Back,2
2019/2020,Antoine Griezmann,Antoine Griezmann,Left Center Forward,5
2019/2020,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Center Forward,7
2019/2020,Sergi Roberto,Sergi Roberto Carnicer,Right Center Back,2
2019/2020,Ansu Fati,Anssumane Fati,Right Wing Back,2
2019/2020,Martin Braithwaite,Martin Braithwaite Christensen,Center Forward,1
2019/2020,Neto,Norberto Murara Neto,Goalkeeper,2
2019/2020,Ronald Araújo,Ronald Federico Araújo da Silva,Right Center Back,1
2019/2020,Arturo Vidal,Arturo Erasmo Vidal Pardo,Left Center Midfield,1
2019/2020,Arthur,Arthur Henrique Ramos de Oliveira Melo,Right Center Midfield,2
2019/2020,Arturo Vidal,Arturo Erasmo Vidal Pardo,Center Attacking Midfield,2
2019/2020,Martin Braithwaite,Martin Braithwaite Christensen,Left Wing,2
2019/2020,Antoine Griezmann,Antoine Griezmann,Right Wing,1
